               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033505,            0.014387,                   0,             0.69611,              0.5558,             0.64478,             0.31595,             0.04512,            0.034724,                   0,            0.070303,           0.0032997,           0.0032997
                   1,            0.035333,            0.014801,                   0,             0.54334,               0.442,             0.46015,             0.19386,            0.074544,            0.054099,                   0,             0.04029,           0.0066199,           0.0066199
                   2,            0.038574,             0.01551,                   0,             0.36955,             0.26799,              0.2361,            0.070265,            0.078547,            0.084882,                   0,            0.010264,           0.0099269,           0.0099269
                   3,            0.038547,            0.015801,                   0,             0.33715,             0.44567,             0.32135,              0.1374,            0.060925,            0.063555,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.037908,            0.015716,                   0,             0.65635,             0.53818,             0.59498,             0.26311,            0.053135,            0.033545,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.036769,            0.015556,                   0,               0.417,              0.3047,             0.27074,            0.098832,            0.075083,            0.057451,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.037971,            0.015649,                   0,            0.010375,             0.27166,            0.010867,           0.0032842,             0.10276,             0.31401,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.036794,             0.01523,                   0,             0.56062,             0.41263,             0.42115,             0.15929,            0.090712,            0.034828,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.037513,            0.015965,                   0,             0.37585,             0.20999,             0.16457,            0.053212,             0.10157,             0.13789,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,              0.0362,            0.015302,                   0,             0.53639,              0.4961,             0.44349,               0.162,            0.060451,            0.035195,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.035273,            0.015067,                   0,             0.55317,             0.49119,             0.44117,             0.16655,                 nan,                 nan,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.036912,            0.015116,                   0,             0.59599,             0.47765,             0.46833,             0.19338,            0.070091,            0.036073,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.035575,            0.014967,                   0,             0.52449,             0.59929,             0.51434,             0.23192,             0.06541,            0.073087,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.035642,            0.015006,                   0,             0.76005,             0.66514,             0.73072,              0.3271,            0.048567,            0.030315,                   0,           0.0097624,           0.0097624,           0.0097624
